N = 3000
dimX = 3
dimY = 3
dimA1= 1
X1	X2	X3	Y1	Y2	Y3	F1	F2	F3	A11	A12	A13	P11	P12	P13	P21	P22	P23	P31	P32	P33	
-0.25204	-0.38063	0.11162	0.013018	-0.038541	0.019721	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.25126	-0.38174	0.11263	0.0019587	-0.033871	0.011806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.25226	-0.38163	0.11274	-0.0091871	-0.032903	-0.0040957	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.2545	-0.38085	0.1114	-0.012745	-0.036589	-0.030813	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.25517	-0.38063	0.11073	-0.0041521	-0.045132	-0.066485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.2545	-0.38253	0.11073	0.010299	-0.055134	-0.10653	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.25438	-0.38453	0.11017	0.01844	-0.061125	-0.14361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.25293	-0.38632	0.10738	0.015182	-0.057244	-0.17081	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.25215	-0.38766	0.10202	0.0042948	-0.043682	-0.18265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.25171	-0.38799	0.095994	-0.0080914	-0.026259	-0.17781	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.2526	-0.38878	0.091083	-0.018077	-0.0087894	-0.16138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.25338	-0.38889	0.088739	-0.022424	0.0076636	-0.14053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.25427	-0.38878	0.087734	-0.02242	0.025612	-0.12254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.25505	-0.38844	0.086618	-0.022878	0.048197	-0.11414	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.25472	-0.38744	0.083716	-0.027499	0.072078	-0.11766	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.25472	-0.38643	0.080256	-0.034313	0.090888	-0.12687	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.25494	-0.38465	0.0778	-0.040166	0.097568	-0.13243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.25617	-0.38152	0.075679	-0.044306	0.089945	-0.13206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.25818	-0.37851	0.073223	-0.048084	0.071492	-0.13512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.25952	-0.37605	0.070321	-0.053504	0.047429	-0.14813	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.25997	-0.3756	0.067419	-0.057623	0.023416	-0.1615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.25997	-0.37639	0.065075	-0.057309	0.0054274	-0.15976	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.26086	-0.37728	0.061615	-0.055056	0.00043317	-0.14166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.26331	-0.3775	0.05648	-0.05443	0.013627	-0.12078	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.26555	-0.37694	0.052239	-0.055424	0.04112	-0.10604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.2661	-0.37683	0.051569	-0.054755	0.070742	-0.093577	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.2661	-0.37605	0.052685	-0.053095	0.090728	-0.082503	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.26644	-0.37371	0.052015	-0.054938	0.097801	-0.079116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.268	-0.37014	0.04889	-0.060289	0.093203	-0.083277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.26979	-0.36668	0.045876	-0.059852	0.078056	-0.080208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.27157	-0.36522	0.043532	-0.045844	0.058588	-0.055313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.2728	-0.36489	0.042416	-0.021016	0.043923	-0.010003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.27403	-0.36511	0.041746	0.0047473	0.038798	0.041551	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.27392	-0.36556	0.042081	0.025716	0.040482	0.088304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.27224	-0.36444	0.04409	0.039189	0.042822	0.12141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.27035	-0.36232	0.048109	0.042387	0.043471	0.13751	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.26945	-0.36054	0.051792	0.034184	0.040472	0.13942	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.26867	-0.35975	0.056034	0.021572	0.032541	0.13739	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.26834	-0.3602	0.058266	0.015078	0.023266	0.14351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.26856	-0.36009	0.059159	0.018016	0.016696	0.15511	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.26901	-0.35964	0.060722	0.02723	0.011944	0.1602	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.26901	-0.35909	0.063624	0.039678	0.0026727	0.15568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.26778	-0.3583	0.070433	0.052573	-0.014542	0.1433	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.2661	-0.3583	0.075902	0.064994	-0.037722	0.12359	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.26454	-0.35853	0.077353	0.074514	-0.06029	0.095685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.26287	-0.36054	0.077242	0.080287	-0.074299	0.069184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.2622	-0.36255	0.076684	0.083087	-0.075686	0.062497	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.26019	-0.36511	0.078246	0.083142	-0.06637	0.079085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.25829	-0.36735	0.079697	0.077791	-0.050649	0.10581	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.25617	-0.36779	0.081707	0.062393	-0.034625	0.12614	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.25427	-0.36768	0.084944	0.037141	-0.022159	0.13145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.25316	-0.36757	0.087957	0.01093	-0.016494	0.12557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.2526	-0.36768	0.091864	-0.0073747	-0.01861	0.11315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.25405	-0.36835	0.094543	-0.013726	-0.026642	0.098695	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.25572	-0.36902	0.095324	-0.009791	-0.038517	0.085926	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.25662	-0.36958	0.096441	-0.00050785	-0.050962	0.080537	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.25628	-0.37002	0.097334	0.0081646	-0.060666	0.089226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.25472	-0.37125	0.099343	0.012439	-0.069164	0.10702	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.2536	-0.37326	0.10113	0.014947	-0.079715	0.12063	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.25327	-0.37538	0.10336	0.018933	-0.089763	0.12004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.25427	-0.37672	0.10727	0.024934	-0.091417	0.10215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.25528	-0.37806	0.11062	0.030862	-0.083896	0.070145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.25416	-0.3804	0.11307	0.03477	-0.074315	0.026475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.25215	-0.3832	0.11341	0.033996	-0.067582	-0.025551	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.24992	-0.3842	0.11196	0.021969	-0.059068	-0.07373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.24936	-0.38442	0.10995	-0.00083169	-0.043706	-0.10389	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
