rosbagTimestamp,x,y,z,x,y,z,w
1498555031990452357,-0.262421191406,-0.378283886719,0.105705175781,0.890289813619,-0.173454133747,0.407125436642,0.107455060803
1498555032010366620,-0.262086328125,-0.378507128906,0.105705175781,0.89099113501,-0.172395199591,0.406250626905,0.106654210568
1498555032030799767,-0.261863085937,-0.378395507812,0.105481933594,0.891684992527,-0.17144377259,0.405432052746,0.105497666081
1498555032050404914,-0.261863085937,-0.378283886719,0.105035449219,0.892192403353,-0.171107943541,0.404781587419,0.104243242194
1498555032070150433,-0.261974707031,-0.377837402344,0.104030859375,0.892803514698,-0.171290940597,0.403944005214,0.101933990716
1498555032090414109,-0.261751464844,-0.376944433594,0.103026269531,0.893587851958,-0.1709931493,0.403041895382,0.0990925037151
1498555032110463660,-0.261193359375,-0.376051464844,0.102356542969,0.89461160534,-0.169744346848,0.402000602476,0.0961896455633
1498555032130601076,-0.261081738281,-0.375493359375,0.102133300781,0.89534488438,-0.168591906834,0.401313319632,0.0942439730212
1498555032150281152,-0.260858496094,-0.375158496094,0.102914648437,0.896850794232,-0.16689774669,0.398844921022,0.0934158659417
1498555032170386240,-0.261081738281,-0.375381738281,0.103807617188,0.898261239022,-0.165593411392,0.396258299602,0.093192964165
1498555032190522995,-0.260858496094,-0.375604980469,0.10447734375,0.899307847405,-0.16406339119,0.394552295447,0.0930434598684
1498555032210380226,-0.260523632813,-0.375828222656,0.104923828125,0.899936035756,-0.162680394377,0.393739020833,0.0928429012195
1498555032230442733,-0.260300390625,-0.376051464844,0.104812207031,0.900219194601,-0.162027271265,0.393507863482,0.0922178204913
1498555032250315085,-0.260077148438,-0.376051464844,0.104700585937,0.900397724203,-0.16156068512,0.393476214579,0.0914251159882
1498555032270237766,-0.260077148438,-0.37593984375,0.104588964844,0.900548395749,-0.161288672926,0.393471165726,0.090437783266
1498555032290381292,-0.260188769531,-0.375270117187,0.10447734375,0.900810328248,-0.161325598654,0.393160592273,0.0891041661451
1498555032310397271,-0.260523632813,-0.374488769531,0.10447734375,0.900930834412,-0.161700962423,0.392990768926,0.0879470630337
1498555032331110840,-0.260858496094,-0.373707421875,0.104254101562,0.90104402606,-0.162033261982,0.392732034433,0.0873294580476
1498555032350549853,-0.260746875,-0.373484179687,0.103919238281,0.901034202227,-0.16217497767,0.392837407636,0.0866914886026
1498555032370437066,-0.260635253906,-0.373484179687,0.103584375,0.90103837041,-0.161766869042,0.393120454848,0.0861257401072
1498555032390466542,-0.260412011719,-0.373595800781,0.103695996094,0.901267567883,-0.160890102883,0.392984262265,0.0859913686862
1498555032410471250,-0.260188769531,-0.373707421875,0.104365722656,0.901700407772,-0.159595525869,0.392355456267,0.0867342993495
1498555032430174725,-0.260077148438,-0.373707421875,0.105258691406,0.902064742379,-0.158620351025,0.391652901609,0.0879021584389
1498555032450326027,-0.259965527344,-0.373372558594,0.106374902344,0.902479649581,-0.157700265308,0.390707410514,0.0894920543062
1498555032471005617,-0.259742285156,-0.373149316406,0.10715625,0.90289249019,-0.156797430758,0.389810352954,0.0908163289093
1498555032490402910,-0.259630664063,-0.372926074219,0.107491113281,0.903278400063,-0.156256907748,0.389081817938,0.0910343325984
1498555032510289200,-0.259742285156,-0.372926074219,0.107267871094,0.903457984078,-0.156243660761,0.38884894068,0.0902667757799
1498555032531087410,-0.25985390625,-0.373037695312,0.106486523437,0.903500090611,-0.156741771852,0.388897766632,0.0887588324087
1498555032550551170,-0.25985390625,-0.373149316406,0.105705175781,0.903525311357,-0.156910095008,0.389200905221,0.0868555651467
1498555032570493861,-0.259519042969,-0.373484179687,0.105035449219,0.903771351914,-0.156219599495,0.389414467744,0.0845526611379
1498555032590461692,-0.259072558594,-0.373819042969,0.10447734375,0.904067674829,-0.155564533796,0.389335760952,0.0829396189887
1498555032610449698,-0.258849316406,-0.373819042969,0.10447734375,0.904432282892,-0.155276329044,0.388715619868,0.0824116143075
1498555032630206972,-0.2589609375,-0.373595800781,0.104923828125,0.904563884886,-0.15531889759,0.388250566396,0.0830765665197
1498555032650470127,-0.259072558594,-0.373484179687,0.105705175781,0.90474940394,-0.154964107815,0.387730987661,0.0841387102748
1498555032670366047,-0.259072558594,-0.373595800781,0.106374902344,0.904965275812,-0.154458847268,0.387272383366,0.084855260044
1498555032690488473,-0.258849316406,-0.373930664062,0.106709765625,0.905142869499,-0.153846567487,0.387133706302,0.0847060382262
1498555032710395246,-0.258626074219,-0.374377148437,0.106709765625,0.905263551592,-0.153177369399,0.387241140349,0.0841361687035
1498555032731010347,-0.258402832031,-0.374712011719,0.106598144531,0.90526270165,-0.152748304651,0.387476851059,0.0838396464703
1498555032750040270,-0.258291210938,-0.374935253906,0.106486523437,0.905185905289,-0.152311612262,0.38788648794,0.0835686670283
1498555032770416876,-0.258291210938,-0.375046875,0.106486523437,0.905168529731,-0.15195687005,0.388092649473,0.0834454184146
1498555032790437117,-0.258291210938,-0.374935253906,0.106486523437,0.905184518558,-0.151882428078,0.388121788838,0.0832717985445
1498555032810439864,-0.258514453125,-0.374823632812,0.106374902344,0.905247047301,-0.151989271394,0.387960820794,0.0831471362225
1498555032830668090,-0.258849316406,-0.374712011719,0.10626328125,0.905369201547,-0.152178214066,0.387596569469,0.0831703035397
1498555032850901801,-0.2589609375,-0.374488769531,0.106374902344,0.905770528629,-0.151992087777,0.386656810491,0.0835144635472
1498555032870158988,-0.258514453125,-0.374600390625,0.106933007812,0.906828373578,-0.150451287422,0.384644739329,0.0841138246309
